tag,case,parameter,median,err_low_percival,err_high_percival,ml,ncall,logz,logzerr
fid,pk_binavg,fnl_loc,-8.24065494932324,52.30129405377067,56.49155696607691,3.946302136564668,34220,-8.276580310503686,0.22738703918728304
fid,pk_binavg,b1,2.6794257277326454,0.1570572693956485,0.1688695225594642,2.7168410942987617,34220,-8.276580310503686,0.22738703918728304
fid,pk_binavg,sigmas,5.9435668755257005,4.10512347031822,4.828770026346607,1.7635215619841422,34220,-8.276580310503686,0.22738703918728304
fid,pk_binavg,sn0,0.4632349512500456,0.4693001218564679,0.37386807450801063,0.09245412954234622,34220,-8.276580310503686,0.22738703918728304
fid,xi_r50_350,fnl_loc,-11.126446195633614,67.11894617907087,68.57874893890674,-2.6475642020185433,34210,-12.662939079861811,0.3699017695541519
fid,xi_r50_350,b1,2.574420955760605,0.26500157305011907,0.24340724292730612,2.6623079229639517,34210,-12.662939079861811,0.3699017695541519
fid,xi_r50_350,sigmas,11.052469244184545,4.9317617108286695,7.203930907235299,9.296088296503706,34210,-12.662939079861811,0.3699017695541519
fid,xi_r50_350,sn0,0.00014941428457163625,0.0007378927994364767,0.000748330404059395,-5.871082646824455e-05,34210,-12.662939079861811,0.3699017695541519
fid,xi_r60_350,fnl_loc,-9.13369350761633,68.36026984807486,70.51905842100369,-4.67383190876194,32613,-11.97727810754531,0.32009373429415183
fid,xi_r60_350,b1,2.5508520355495103,0.34699750632710386,0.3117057799856297,2.681039699388371,32613,-11.97727810754531,0.32009373429415183
fid,xi_r60_350,sigmas,10.892149637805522,5.474663288133959,7.535918053633974,9.569670741546858,32613,-11.97727810754531,0.32009373429415183
fid,xi_r60_350,sn0,0.0001666625847175729,0.0008040931650282749,0.0007848139819345462,-8.886674381924919e-07,32613,-11.97727810754531,0.32009373429415183
fid,xi_r80_350,fnl_loc,-14.778804130702456,86.20415317547568,75.68961334072338,-0.8417475097047031,36164,-11.24459444834651,0.39791586991200323
fid,xi_r80_350,b1,2.4765397466661003,0.5795069035122148,0.52971707688115,2.8101848986159768,36164,-11.24459444834651,0.39791586991200323
fid,xi_r80_350,sigmas,10.64479961023641,6.507695121088841,8.123525885497251,10.4513465537357,36164,-11.24459444834651,0.39791586991200323
fid,xi_r80_350,sn0,1.776187325951238e-05,0.0008199437494558581,0.000911023120559466,1.4219481843547044e-05,36164,-11.24459444834651,0.39791586991200323
fid,xi_r100_350,fnl_loc,-21.285336685293753,118.92959263411431,72.06684914574457,-2.4580987482141836,41584,-10.26078240329627,0.36063838015594474
