kmax_fit,tag,case,ncall,niter,ess,logzerr,fnl_loc,b1,sigmas,sn0,passes_min_ncall
0.06,LCp100,pk_binavg,73642,15482,4412.284910768312,0.1304752992264838,77.33631790348569,2.7187270997091852,7.615694806875229,0.4016012260288736,True
0.06,LCp50,pk_binavg,77931,16350,4360.352071068549,0.12443216812391243,32.42806268886351,2.7333431527037497,7.422359064672911,0.40488682659162056,True
0.06,fid,pk_binavg,83241,18941,4461.778177462762,0.13471683978720098,-17.750027650563187,2.7614482171689767,7.788390516702056,0.41063409014301033,True
0.08,LCp100,pk_binavg,75533,12919,4098.644013442588,0.24741738189557858,95.32129883029079,2.6340454289970077,5.7631945025809825,0.47027335206608734,True
0.08,LCp100,xi_r100_350,52951,20091,5002.246423874549,0.15237501689694502,88.10067759652259,2.6081306570960567,12.717469762084784,8.881975765771468e-05,True
0.08,LCp100,xi_r50_350,35200,14114,4520.879874451563,0.49407911002411337,109.921527668355,2.514326290672003,10.901134770632513,0.00017473548663837754,True
0.08,LCp100,xi_r60_350,36083,13713,4402.134596929705,0.42868059790909513,110.01103488926408,2.5139090100628017,10.978954065875218,0.00014235565118330776,True
0.08,LCp100,xi_r80_350,39602,14434,4673.997424380378,0.4707962550417867,104.10974337262341,2.510810299786889,10.95049807955797,8.526172057325598e-05,True
0.08,LCp50,pk_binavg,84196,17760,4523.20656538263,0.11128428501582781,43.35923734112087,2.660114199464675,5.91393512922939,0.4619301625668622,True
0.08,LCp50,xi_r100_350,38497,12447,4039.2324622760166,0.24777558718483308,38.709009202861445,2.5698564571228073,12.532880476929295,5.9245473874437255e-05,True
0.08,LCp50,xi_r50_350,32281,13137,4209.463278288564,0.3353993773267945,52.92139300563068,2.5389094353836943,11.246466005452746,0.00018723180683359432,True
0.08,LCp50,xi_r60_350,39391,15619,4397.214562999254,0.3471863578311332,47.5114349844954,2.5419176120402986,11.080000414840054,0.00012915385779878333,True
0.08,LCp50,xi_r80_350,33185,11908,4201.4689197259895,0.25346201124707984,45.333080232110255,2.4702255405174376,10.862292354207526,7.629328823883293e-05,True
0.08,fid,pk_binavg,34220,9931,3409.5332697209683,0.22738703918728304,-8.24065494932324,2.6794257277326454,5.9435668755257005,0.4632349512500456,True
0.08,fid,xi_r100_350,41584,12984,4432.999008907209,0.36063838015594474,-21.285336685293753,2.55882327860786,11.675720136553325,9.274174492758316e-05,True
0.08,fid,xi_r50_350,34210,13430,4644.79901360199,0.3699017695541519,-11.126446195633614,2.574420955760605,11.052469244184545,0.00014941428457163625,True
0.08,fid,xi_r60_350,32613,12741,4267.456526688741,0.32009373429415183,-9.13369350761633,2.5508520355495103,10.892149637805522,0.0001666625847175729,True
0.08,fid,xi_r80_350,36164,13448,4332.891812458723,0.39791586991200323,-14.778804130702456,2.4765397466661003,10.64479961023641,1.776187325951238e-05,True
0.10,LCp100,pk_binavg,100019,10088,3163.52931694076,0.4164816717175433,100.48028409684997,2.613457665621839,6.927775160415214,0.5346481726005905,True
0.10,LCp50,pk_binavg,100052,10307,3105.6373135075232,0.26911900577537057,50.12932801085787,2.6285749569150494,6.889181634901196,0.5338649030835395,True
0.10,fid,pk_binavg,100005,10868,3062.7434485309623,0.40862344797165623,-3.1091762636466296,2.655765987858365,6.694368957589462,0.5070171743150371,True
