kmax_fit,tag,ncall,niter,ess,logzerr,fnl_loc,fnl_loc_err_low,fnl_loc_err_high,b1,b1_err_low,b1_err_high,sigmas,sn0
0.06,fid,6450,1496,526.4221322146182,0.2767424192984107,-19.452562918872143,50.60303480519905,51.204780866305214,2.755443743295492,0.18879220709854927,0.2253490254604602,7.218583612371958,0.4052501102535838
0.06,LCp50,6078,1495,538.7281684581432,0.24395573237477264,31.561213049235775,62.10215103095025,57.54246956985606,2.7418863839422953,0.20247841668743177,0.20547532986323597,7.479212003078156,0.4490168875968438
0.06,LCp100,6723,1471,521.4004566313088,0.34125091644351513,80.09954792602556,71.60962530174976,85.24956861759831,2.708918165805201,0.20261473146834924,0.2373586892492541,7.569074496408923,0.42310906700312517
0.08,fid,8538,1666,592.306787373653,0.6306264161068366,-6.897063508628972,60.67865943768345,53.182324275514866,2.668213364722857,0.14449084892938868,0.17626483045495706,5.868648322832381,0.4635929119644595
0.08,LCp50,8618,1639,584.9020313006854,0.32595115395639224,37.658367243593545,63.6401035750636,70.48876923686626,2.67936565541521,0.16398750186050043,0.17573360265323001,5.940392558060163,0.44533951478631406
0.08,LCp100,7901,1628,540.7197695192847,0.3848628932264815,98.25471968631817,69.68064227868615,75.29464453191963,2.6340657929269375,0.18101054348113127,0.16175903243452053,6.103704054308863,0.4975661652341718
0.10,fid,11249,1768,597.158554628899,0.35574129965895185,0.001381125800858335,54.74380426867552,54.4178055026502,2.6501658153287613,0.10629202467313428,0.11176959411526967,6.7771304172510245,0.5204581971072246
0.10,LCp50,10464,1792,555.1427650460129,0.27277709581772175,54.726446855075615,58.56753899553804,53.20134103507394,2.626220476240607,0.10596972131614318,0.10460398219600316,6.619618033697653,0.5215710456655186
0.10,LCp100,10344,1761,584.6417875979494,0.3431543338304786,103.38265478599115,67.43110916854722,63.654238245428,2.611699429524716,0.11176067469444091,0.11096267728902844,5.669670399358534,0.47829961199448856
